,Age,Receiving_Ctch%,Receiving_Lng,Receiving_Y/Tgt,Fantasy_PPR
530,22,33.3,18.0,3.8,4.3
534,23,50.0,10.0,5.0,2.0
536,25,100.0,6.0,6.0,1.6
539,24,100.0,5.0,5.0,1.5
541,24,25.0,14.0,3.5,2.4
545,28,100.0,10.0,10.0,2.0
549,25,100.0,13.0,13.0,2.3
551,29,50.0,7.0,3.5,1.7
554,24,33.3,13.0,4.3,2.3
555,27,66.7,12.0,3.3,3.0
556,25,50.0,8.0,2.8,3.4
563,25,100.0,8.0,5.5,3.1
566,29,66.7,7.0,4.7,3.4
567,25,100.0,5.0,5.0,1.5
569,25,60.0,39.0,7.5,-0.3
577,23,60.0,39.0,7.5,0.3
589,22,33.3,9.0,1.3,0.8
590,26,66.7,7.0,4.7,1.4
595,29,25.0,39.0,-0.8,-3.3
599,28,77.2,56.0,9.2,358.4
601,26,64.4,75.0,9.5,328.9
612,27,76.5,55.0,9.2,328.6
615,26,62.9,63.0,9.6,281.5
616,23,64.3,62.0,10.1,271.3
619,21,70.4,71.0,11.2,274.2
621,30,68.5,51.0,8.6,254.0
622,27,64.2,50.0,9.2,248.6
623,23,66.0,73.0,10.1,247.5
627,28,71.9,60.0,8.8,287.8
629,28,75.8,47.0,8.0,265.4
633,27,67.5,42.0,8.3,262.9
635,28,69.8,56.0,7.3,245.1
637,22,56.9,84.0,8.0,214.9
638,30,66.1,43.0,8.5,227.8
639,27,68.1,57.0,9.7,232.0
644,23,55.9,74.0,10.1,211.5
645,28,68.0,28.0,6.7,245.1
646,26,70.8,69.0,8.6,236.8
648,21,66.7,52.0,8.4,217.7
656,27,58.5,85.0,10.9,185.6
657,24,75.8,31.0,6.5,234.1
658,25,64.9,68.0,8.3,223.8
659,26,70.7,77.0,11.7,188.9
661,24,79.4,44.0,8.8,212.1
664,24,61.1,47.0,6.4,221.8
666,27,69.9,75.0,8.1,224.1
668,21,62.0,67.0,8.4,194.6
669,25,70.7,75.0,10.7,191.4
671,24,77.4,47.0,10.0,191.0
696,31,76.6,35.0,9.0,207.5
697,22,62.5,49.0,7.8,184.5
698,23,58.0,70.0,7.7,183.0
701,27,74.2,55.0,7.9,208.7
703,28,71.3,32.0,8.3,188.0
706,26,71.8,72.0,7.6,192.6
707,24,56.2,55.0,8.0,173.3
709,27,66.3,69.0,7.9,172.0
715,27,64.6,61.0,9.4,161.2
716,24,66.1,35.0,7.2,181.1
717,31,60.2,50.0,8.2,164.2
719,21,46.0,92.0,7.6,157.6
721,26,56.5,64.0,8.9,153.7
723,33,74.4,51.0,8.9,164.8
724,26,52.4,78.0,11.0,137.3
725,27,61.2,31.0,7.7,166.3
726,21,56.5,56.0,9.7,136.9
727,24,57.0,73.0,7.6,153.6
