,Ht,Wt,40yd,Vertical,Bench,BroadJump,3Cone,Shuttle,Combine_Year,Fantasy_PPR
805,5.916666666666667,215.0,4.54,34.5,19.0,120.0,7.0,4.24,2013.0,66.0
807,5.916666666666667,197.0,4.62,34.5,19.0,120.0,7.0,4.24,2020.0,69.0
808,5.916666666666667,212.0,4.49,31.0,23.0,121.0,6.95,4.28,2020.0,81.2
812,5.75,207.0,4.54,33.5,19.0,121.0,7.0,4.24,2015.0,84.4
817,5.916666666666667,233.0,4.65,33.0,30.0,116.0,7.26,4.37,2017.0,65.7
820,5.916666666666667,213.0,4.54,40.0,11.0,126.0,7.07,4.29,2018.0,71.8
824,5.833333333333333,228.0,4.64,32.5,20.0,111.0,7.0,4.21,2016.0,55.0
830,6.083333333333333,216.0,4.54,36.0,16.0,117.0,7.0,4.27,2018.0,61.3
837,5.75,215.0,4.62,31.5,21.0,118.0,7.13,4.62,2011.0,52.9
838,5.916666666666667,215.0,4.54,34.5,19.0,120.0,7.0,4.24,2013.0,63.3
842,6.0,199.0,4.52,38.5,13.0,122.0,6.81,4.07,2018.0,65.3
851,5.916666666666667,216.0,4.62,35.0,22.0,118.0,7.13,4.31,2020.0,52.5
858,5.833333333333333,217.0,4.58,33.5,19.0,119.0,7.18,4.32,2020.0,56.9
859,5.916666666666667,215.0,4.54,34.5,19.0,120.0,7.0,4.24,2013.0,57.3
863,6.0,247.0,4.53,41.0,23.0,131.0,7.19,4.24,2020.0,40.3
864,5.583333333333333,193.0,4.56,34.5,17.0,112.0,6.9,4.18,2011.0,57.2
866,5.833333333333333,219.0,4.63,35.5,16.0,117.0,7.01,4.19,2012.0,40.7
869,6.0,225.0,4.72,32.0,22.0,109.0,7.0,4.21,2018.0,54.5
876,5.916666666666667,215.0,4.54,34.5,19.0,120.0,7.0,4.24,2013.0,42.0
882,5.75,214.0,4.49,35.5,19.0,121.0,6.93,4.28,2017.0,43.9
883,5.916666666666667,215.0,4.54,34.5,19.0,120.0,7.0,4.24,2013.0,51.1
884,6.166666666666667,213.0,4.54,34.5,18.0,120.0,7.0,4.24,2018.0,36.6
890,6.0,230.0,4.57,34.0,16.0,122.0,7.0,4.24,2016.0,30.7
894,5.666666666666667,206.0,4.58,31.5,19.0,118.0,7.11,4.26,2014.0,36.0
904,5.916666666666667,215.0,4.54,34.5,19.0,120.0,7.0,4.24,2013.0,36.5
908,5.916666666666667,215.0,4.54,34.5,19.0,120.0,7.0,4.24,2013.0,53.6
913,5.916666666666667,215.0,4.54,34.5,19.0,120.0,7.0,4.24,2013.0,33.2
916,5.916666666666667,229.0,4.54,34.0,17.0,118.0,6.9,4.16,2018.0,37.1
918,5.916666666666667,215.0,4.54,34.5,19.0,120.0,7.0,4.24,2013.0,31.1
920,5.833333333333333,201.0,4.48,39.5,17.0,130.0,7.07,4.31,2019.0,32.8
924,5.583333333333333,192.0,4.42,34.5,21.0,120.0,7.0,4.24,2013.0,42.6
926,5.75,205.0,4.6,42.5,24.0,130.0,6.79,3.95,2015.0,30.0
933,5.833333333333333,217.0,4.59,28.5,18.0,113.0,7.0,4.24,2016.0,21.1
934,5.916666666666667,213.0,4.65,35.0,14.0,120.0,6.99,4.34,2017.0,29.9
936,5.916666666666667,215.0,4.54,34.5,19.0,120.0,7.0,4.24,2013.0,21.3
942,5.916666666666667,215.0,4.54,34.5,19.0,120.0,7.0,4.24,2013.0,25.5
946,5.916666666666667,215.0,4.54,34.5,19.0,120.0,7.0,4.24,2013.0,21.0
953,5.833333333333333,214.0,4.51,32.0,19.0,117.0,7.0,4.24,2020.0,23.3
956,5.916666666666667,215.0,4.54,34.5,19.0,120.0,7.0,4.24,2013.0,29.4
958,5.916666666666667,215.0,4.54,34.5,19.0,120.0,7.0,4.24,2013.0,22.7
964,5.666666666666667,206.0,4.51,33.0,19.0,121.0,7.44,4.44,2019.0,21.7
967,5.833333333333333,220.0,4.68,28.5,19.0,115.0,7.0,4.24,2017.0,21.0
968,6.0,233.0,4.54,34.5,18.0,120.0,7.0,4.24,2017.0,17.0
969,5.916666666666667,215.0,4.54,34.5,19.0,120.0,7.0,4.24,2013.0,24.7
973,5.916666666666667,215.0,4.54,34.5,19.0,120.0,7.0,4.24,2013.0,16.7
975,5.833333333333333,192.0,4.41,39.0,17.0,130.0,7.0,4.24,2016.0,26.1
978,5.916666666666667,215.0,4.54,34.5,19.0,120.0,7.0,4.24,2013.0,20.2
981,6.083333333333333,226.0,4.61,36.0,22.0,117.0,7.19,4.22,2015.0,16.2
983,5.833333333333333,203.0,4.41,37.0,20.0,125.0,7.0,4.24,2020.0,16.1
987,5.916666666666667,215.0,4.54,34.5,19.0,120.0,7.0,4.24,2013.0,14.9
989,5.833333333333333,198.0,4.5,34.5,19.0,120.0,7.0,4.24,2009.0,28.2
991,6.166666666666667,232.0,4.58,33.0,15.0,122.0,6.95,4.16,2018.0,20.7
994,5.5,179.0,4.42,31.5,11.0,118.0,7.0,4.24,2017.0,17.5
998,5.916666666666667,215.0,4.54,34.5,19.0,120.0,7.0,4.24,2013.0,22.0
1001,5.916666666666667,215.0,4.54,34.5,19.0,120.0,7.0,4.24,2013.0,19.8
1002,5.916666666666667,215.0,4.54,34.5,19.0,120.0,7.0,4.24,2013.0,17.1
1012,5.416666666666667,185.0,4.61,34.5,19.0,118.0,7.0,4.15,2020.0,12.4
1016,5.916666666666667,215.0,4.54,34.5,19.0,120.0,7.0,4.24,2013.0,17.5
1020,6.0,233.0,4.4,41.0,29.0,120.0,7.0,4.24,2018.0,15.4
1023,5.916666666666667,206.0,4.4,34.5,22.0,120.0,7.0,4.24,2015.0,12.7
1028,5.916666666666667,215.0,4.54,34.5,19.0,120.0,7.0,4.24,2013.0,9.4
1034,5.916666666666667,215.0,4.54,34.5,19.0,120.0,7.0,4.24,2013.0,9.6
1035,5.833333333333333,198.0,4.4,40.0,21.0,130.0,7.0,4.24,2019.0,13.0
1037,6.0,220.0,4.48,35.5,19.0,121.0,7.0,4.24,2016.0,12.7
1038,5.916666666666667,215.0,4.54,34.5,19.0,120.0,7.0,4.24,2013.0,17.4
1042,5.916666666666667,215.0,4.54,34.5,19.0,120.0,7.0,4.24,2013.0,7.7
