,Player,Year,Age,Position,Receiving_Ctch%,Receiving_Lng,Receiving_Y/Tgt,40yd,Ht,Wt,Vertical,Bench,3Cone,Shuttle,Pts_Per_Start
1766,Allen Robinson,2019,26.0,WR,63.6,49.0,7.4,4.6,6.25,220.0,39.0,0.0,7.0,4.0,16.993333333333332
1770,Jarvis Landry,2019,27.0,WR,60.1,65.0,8.5,4.65,5.916666667,205.0,28.5,12.0,0.0,0.0,14.8375
1772,Tyler Lockett,2019,27.0,WR,74.5,44.0,9.6,4.4,5.833333333,182.0,35.5,0.0,6.89,4.07,14.7
1778,Courtland Sutton,2019,24.0,WR,58.1,70.0,9.0,4.54,6.25,218.0,35.5,18.0,6.57,4.11,15.885714285714286
1779,Stefon Diggs,2019,26.0,WR,67,66.0,12.0,4.46,6.0,195.0,35.0,0.0,7.03,4.32,14.139999999999999
1780,John Brown,2019,29.0,WR,62.6,53.0,9.2,4.34,5.833333333,179.0,36.5,0.0,6.91,4.12,14.653333333333334
1782,Michael Gallup,2019,23.0,WR,58.4,62.0,9.8,4.51,6.083333333,205.0,36.0,10.0,6.95,4.37,17.724999999999998
1785,D.J. Moore,2019,22.0,WR,64.4,52.0,8.7,4.42,6.0,210.0,39.5,15.0,6.95,4.07,15.366666666666667
1786,Robert Woods,2019,27.0,WR,64.7,48.0,8.2,4.51,6.0,201.0,33.5,14.0,7.15,4.47,15.526666666666667
1792,Calvin Ridley,2019,25.0,WR,67.7,36.0,9.3,4.43,6.0,189.0,31.0,15.0,6.88,4.41,19.7
1793,Terry McLaurin,2019,24.0,WR,62.4,75.0,9.9,4.35,6.0,208.0,37.5,18.0,7.01,4.15,13.707142857142857
1795,Tyler Boyd,2019,25.0,WR,60.8,47.0,7.1,4.58,6.083333333,197.0,34.0,11.0,6.9,4.35,14.860000000000001
1797,Deebo Samuel,2019,23.0,WR,70.4,42.0,9.9,4.48,5.916666667,214.0,39.0,15.0,7.03,4.14,17.19090909090909
1798,Marvin Jones,2019,29.0,WR,68.1,47.0,8.6,4.46,6.166666667,199.0,33.0,22.0,6.81,4.11,17.62727272727273
1801,Davante Adams,2019,27.0,WR,65.4,58.0,7.9,4.56,6.083333333,212.0,39.5,14.0,6.82,4.3,17.724999999999998
1802,D.K. Metcalf,2019,22.0,WR,58,54.0,9.0,4.33,6.25,228.0,40.5,27.0,7.38,4.5,12.473333333333333
1828,Emmanuel Sanders,2019,32.0,WR,68,75.0,9.0,4.4,5.916666667,186.0,39.5,12.0,6.64,4.1,11.89375
1831,Jamison Crowder,2019,26.0,WR,63.9,41.0,6.8,4.56,5.666666667,185.0,37.0,10.0,7.17,4.32,16.474999999999998
1834,Curtis Samuel,2019,23.0,WR,51.4,44.0,6.0,4.31,5.916666667,196.0,37.0,18.0,7.09,4.33,11.446666666666665
1837,Mike Williams,2019,25.0,WR,54.4,56.0,11.1,0.0,6.333333333,218.0,32.5,15.0,0.0,0.0,10.753333333333334
1840,Chris Conley,2019,27.0,WR,52.2,70.0,8.6,4.35,6.166666667,213.0,45.0,18.0,7.06,4.3,11.178571428571429
1845,Diontae Johnson,2019,23.0,WR,64.1,45.0,7.4,4.53,5.833333333,183.0,33.5,15.0,7.09,4.45,13.591666666666667
1847,Golden Tate,2019,31.0,WR,57.6,64.0,8.0,4.42,5.833333333,199.0,35.0,17.0,7.12,4.34,15.219999999999999
1848,Larry Fitzgerald,2019,36.0,WR,68.8,54.0,7.4,4.48,6.25,225.0,0.0,0.0,0.0,0.0,11.0875
1853,Marquise Brown,2019,22.0,WR,64.8,83.0,8.2,0.0,5.75,166.0,0.0,0.0,0.0,0.0,13.30909090909091
1855,Christian Kirk,2019,23.0,WR,63,69.0,6.6,4.47,5.833333333,201.0,35.5,20.0,7.09,4.45,12.938461538461537
1858,Zach Pascal,2019,25.0,WR,56.9,37.0,8.4,4.55,6.166666667,219.0,36.0,14.0,7.11,4.29,10.407692307692308
1860,Dede Westbrook,2019,26.0,WR,65.3,39.0,6.5,0.0,6.0,178.0,0.0,0.0,0.0,0.0,14.245454545454544
1862,James Washington,2019,23.0,WR,55,79.0,9.2,4.54,5.916666667,213.0,34.5,14.0,7.11,4.32,13.35
1863,Sammy Watkins,2019,26.0,WR,57.8,68.0,7.5,4.43,6.083333333,211.0,34.0,16.0,6.95,4.34,10.653846153846153
1868,Will Fuller,2019,25.0,WR,69,54.0,9.4,4.32,6.0,186.0,33.5,10.0,6.93,4.27,12.181818181818182
1871,Sterling Shepard,2019,26.0,WR,68.7,36.0,6.9,4.48,5.833333333,194.0,41.0,20.0,7.0,4.35,14.180000000000001
1876,T.Y. Hilton,2019,30.0,WR,66.2,35.0,7.4,4.34,5.75,183.0,0.0,0.0,0.0,0.0,12.51
