,Player,Year,Age,Position,Rushing_Y/A_y,40yd,Wt,Vertical,Bench,3Cone,Shuttle,Receiving_Y/Tgt,Receiving_Ctch%,Pts_Per_Start
4484,Alfred Morris,2014,26.0,RB,4.1,4.63,219.0,35.5,16.0,7.01,4.19,6.0,65.4,11.74375
4500,Frank Gore,2014,31.0,RB,4.3,4.58,217.0,0.0,0.0,0.0,0.0,5.8,57.9,9.91875
4518,Andre Ellington,2014,25.0,RB,3.3,4.61,199.0,34.0,0.0,0.0,0.0,6.2,71.9,14.791666666666666
4527,Steven Jackson,2014,31.0,RB,3.7,4.55,241.0,0.0,0.0,0.0,0.0,5.5,74.1,9.433333333333334
4586,Trent Richardson,2014,24.0,RB,3.3,4.48,228.0,0.0,0.0,0.0,0.0,6.7,79.4,9.816666666666666
4600,Darren McFadden,2014,27.0,RB,3.4,4.33,211.0,33.0,0.0,0.0,0.0,3.8,64.3,10.049999999999999
4628,Doug Martin,2014,25.0,RB,3.7,4.46,223.0,36.0,28.0,6.79,4.16,3.2,65,7.345454545454545
4980,Jamaal Charles,2013,27.0,RB,5.0,4.38,200.0,30.5,0.0,6.8,4.22,6.7,67.3,25.2
4981,LeSean McCoy,2013,25.0,RB,5.1,4.5,198.0,0.0,0.0,0.0,0.0,8.4,81.3,20.6625
4983,Matt Forte,2013,28.0,RB,4.6,4.44,217.0,33.0,23.0,6.84,4.23,6.3,77.9,21.08125
4985,Marshawn Lynch,2013,27.0,RB,4.2,4.46,215.0,35.5,20.0,7.05,4.55,7.2,81.8,17.20625
4986,Knowshon Moreno,2013,26.0,RB,4.3,4.5,217.0,35.5,25.0,6.84,4.27,7.4,81.1,19.773333333333333
4994,Eddie Lacy,2013,23.0,RB,4.1,4.55,231.0,0.0,0.0,0.0,0.0,5.8,79.5,16.166666666666668
4996,DeMarco Murray,2013,25.0,RB,5.2,4.37,213.0,34.5,21.0,7.28,4.18,5.3,80.3,18.435714285714287
4997,Adrian Peterson,2013,28.0,RB,4.5,4.4,217.0,38.5,0.0,7.09,4.4,4.3,72.5,16.62142857142857
5000,Chris Johnson,2013,28.0,RB,3.9,4.24,197.0,35.0,0.0,0.0,0.0,6.6,80.8,15.0125
5005,Reggie Bush,2013,28.0,RB,4.5,4.37,201.0,0.0,0.0,0.0,0.0,6.3,67.5,17.085714285714285
5006,Ryan Mathews,2013,26.0,RB,4.4,4.37,218.0,36.0,19.0,7.0,4.33,5.7,78.8,15.028571428571428
5009,Frank Gore,2013,30.0,RB,4.1,4.58,217.0,0.0,0.0,0.0,0.0,5.2,59.3,11.93125
5010,Le'Veon Bell,2013,21.0,RB,3.5,4.6,230.0,31.5,24.0,6.75,4.24,6.0,68.2,16.684615384615384
5013,Alfred Morris,2013,25.0,RB,4.6,4.63,219.0,35.5,16.0,7.01,4.19,6.5,75,11.14375
5023,Zac Stacy,2013,22.0,RB,3.9,4.55,216.0,33.0,27.0,6.7,4.17,4.0,74.3,15.283333333333333
5035,Maurice Jones-Drew,2013,28.0,RB,3.4,4.39,207.0,36.0,18.0,7.08,4.38,5.2,71.7,12.466666666666667
5042,DeAngelo Williams,2013,30.0,RB,4.2,4.45,214.0,35.5,25.0,0.0,0.0,9.3,72.2,10.906666666666666
